iter	RMSE
0	0.8030488806
1	0.7868970445
2	0.7717693236
3	0.7576953772
4	0.7430431096
5	0.7293368005
6	0.7152969233
7	0.7029929765
8	0.6896986207
9	0.6782278008
10	0.6672501193
11	0.6567239902
12	0.6458645319
13	0.6363681671
14	0.6262358366
15	0.6167423227
16	0.6075310959
17	0.5994521062
18	0.5916069756
19	0.5834478568
20	0.5754320931
21	0.5674564578
22	0.5609633796
23	0.553723274
24	0.5477811669
25	0.5420908676
26	0.5366508104
27	0.530472957
28	0.5246015923
29	0.5191021631
30	0.5136916386
31	0.5094541843
32	0.5045747929
33	0.5007504214
34	0.49642576
35	0.4921552543
36	0.4881281053
37	0.4850004198
38	0.4813259165
39	0.4777346959
40	0.4749664479
41	0.4724503119
42	0.4693010703
43	0.4670853282
44	0.4644641906
45	0.4624298131
46	0.4604999934
47	0.4586741149
48	0.4569487418
49	0.4547158445
50	0.4523901264
51	0.4503852161
52	0.4484293254
53	0.4471204656
54	0.4458333048
55	0.4446667308
56	0.4435658265
57	0.4425270383
58	0.4415079258
59	0.440089577
60	0.438699272
61	0.4377198763
62	0.4369401083
63	0.4356371772
64	0.434309415
65	0.4329518306
66	0.4319529754
67	0.4308070875
68	0.4302485244
69	0.4297220833
70	0.4292259521
71	0.4282031057
72	0.4270047319
73	0.4262496701
74	0.4254591461
75	0.4249670606
76	0.4241647551
77	0.4238328491
78	0.4235201869
79	0.4231113749
80	0.4222418656
81	0.4219643358
82	0.4214590633
83	0.4205645772
84	0.4200252457
85	0.4196147916
86	0.4193758835
87	0.418890612
88	0.4187180664
89	0.4180987826
90	0.4176649866
91	0.417383341
92	0.4166014967
93	0.4161369526
94	0.4154690785
95	0.4152922547
96	0.4149860149
97	0.4148852044
98	0.4146042312
99	0.4143553583
100	0.4142707423
101	0.4141910771
102	0.4137848604
103	0.4131553829
104	0.4130889572
105	0.412838972
106	0.4126070827
107	0.4125512347
108	0.4120285704
109	0.4118327122
110	0.4117858181
111	0.4116842354
112	0.4116427696
113	0.4115144361
114	0.4113407187
115	0.4108616381
116	0.4104869363
117	0.4099462127
118	0.409800307
119	0.4095699347
120	0.4092629227
121	0.4092389434
122	0.4086711362
123	0.4086501742
124	0.4085203869
125	0.4083235371
126	0.4082028587
127	0.4079199487
128	0.4076676261
129	0.4076292688
130	0.4075275135
131	0.4073466151
132	0.4071604214
133	0.407144998
134	0.4071340537
135	0.4071215247
136	0.406580151
137	0.4061357388
138	0.405884581
139	0.4056304518
140	0.405622669
141	0.4049023208
142	0.4045782714
143	0.4043529675
144	0.4041495393
145	0.4036824716
146	0.4027194778
147	0.4024143594
148	0.4021056678
149	0.4019830537
150	0.4015103767
151	0.4012613789
152	0.4008278568
153	0.4005778187
154	0.4005745525
155	0.4005374122
156	0.4005345129
157	0.4001661262
158	0.3999528903
159	0.3999504918
160	0.39980773
161	0.3996431451
162	0.3994384602
163	0.3994108518
164	0.3993509984
165	0.3991011457
166	0.3985759197
167	0.3981546254
168	0.398153213
169	0.3980912442
170	0.3978951178
171	0.3974886498
172	0.396944556
173	0.396452008
174	0.3964509674
175	0.3963611468
176	0.3962945596
177	0.3962840565
178	0.3958106933
179	0.3954846298
180	0.3953576676
181	0.3948045371
182	0.3945977659
183	0.3943859308
184	0.3942102776
185	0.3939308267
186	0.3935671641
187	0.3931717356
188	0.3931162929
189	0.3931159033
190	0.3926066314
191	0.3925599642
192	0.3918543288
193	0.3912954255
194	0.3911450249
195	0.3907655292
196	0.3904441843
197	0.3900905926
198	0.3898585017
199	0.3894280555
200	0.389156047
201	0.3889926283
202	0.3887654414
203	0.3886683688
204	0.3884298816
205	0.3877578259
206	0.3875256626
207	0.3872124441
208	0.3867753124
209	0.3863576925
210	0.3859800617
211	0.3856766775
212	0.3853297593
213	0.3849388186
214	0.3842932877
215	0.3841885003
216	0.3838432313
217	0.383464748
218	0.3828985327
219	0.3828109592
220	0.3825921444
221	0.3823866113
222	0.3820404591
223	0.3817024458
224	0.3816704989
225	0.3812881079
226	0.3810725096
227	0.3808205881
228	0.3807876377
229	0.3802369762
230	0.3795604324
231	0.3791219675
232	0.3782700238
233	0.3777978907
234	0.3773887796
235	0.3771043579
236	0.376738253
237	0.3763543156
238	0.3759317403
239	0.3757161253
240	0.3748819979
241	0.3742285606
242	0.3740859572
243	0.373732018
244	0.3734925868
245	0.3733111846
246	0.3728933524
247	0.372595343
248	0.3723460592
249	0.3718999974
250	0.3717843084
251	0.3714659508
252	0.3711823066
253	0.3707548679
254	0.3706913917
255	0.3703173185
256	0.3697904097
257	0.3693916749
258	0.3692940413
259	0.3691268695
260	0.3685610707
261	0.3681936494
262	0.3681836307
263	0.3672442097
264	0.3669691267
265	0.3661697685
266	0.3660612247
267	0.3655133054
268	0.3652631942
269	0.3649476609
270	0.3645924295
271	0.3640064971
272	0.3636028767
273	0.3633357467
274	0.363061192
275	0.3626400586
276	0.3623259729
277	0.3618263778
278	0.3616350408
279	0.3614223922
280	0.3609061381
281	0.3607259693
282	0.3604947374
283	0.3601195816
284	0.3599999137
285	0.3595000159
286	0.3591936617
287	0.3588690587
288	0.3585003227
289	0.3578158629
290	0.3573906707
291	0.3566330466
292	0.3563707855
293	0.3562126447
294	0.3558534204
295	0.3551361574
296	0.3543011234
297	0.3540875044
298	0.3539551547
299	0.3536745916
300	0.3532091894
301	0.3528182229
302	0.3526173242
303	0.3518945332
304	0.3514304649
305	0.3510123907
306	0.3508698768
307	0.3505787539
308	0.3504528427
309	0.3500684687
310	0.3499350676
311	0.3498453314
312	0.3497167604
313	0.3495305276
314	0.3494719706
315	0.3490147992
316	0.3487279662
317	0.3483979608
318	0.3479887629
319	0.3475673433
320	0.3471608078
321	0.3467868152
322	0.3465650572
323	0.3460799265
324	0.3458199431
325	0.3451858317
326	0.3450826397
327	0.3447384058
328	0.3444017528
329	0.3438386164
330	0.3433528246
331	0.3430410922
332	0.3426546827
333	0.3423726355
334	0.3422292351
335	0.3420157701
336	0.3417485312
337	0.3416760845
338	0.3414864995
339	0.3412258527
340	0.3410498416
341	0.3409512263
342	0.3402731849
343	0.340087973
344	0.3398770888
345	0.3395023603
346	0.3392165444
347	0.3389803752
348	0.3387559974
349	0.3385755905
350	0.3384737639
351	0.3383171644
352	0.3379630413
353	0.3377762451
354	0.337484769
355	0.3372358899
356	0.3370967307
357	0.3369218009
358	0.336628945
359	0.336433313
360	0.3362403215
361	0.3358294069
362	0.3356643555
363	0.3355658961
364	0.335357141
365	0.3352245543
366	0.3350922069
367	0.3349303269
368	0.3348663238
369	0.3346854595
370	0.3343640037
371	0.3338328334
372	0.3333764262
373	0.3332283091
374	0.332838931
375	0.3326997412
376	0.3324940446
377	0.3323380133
378	0.3321993796
379	0.3318833504
380	0.3313106596
381	0.3311428336
382	0.3308164438
383	0.33022105
384	0.329869222
385	0.3296662096
386	0.3294783996
387	0.32943541
388	0.3290498598
389	0.3288776735
390	0.3284622782
391	0.3283754984
392	0.3282755409
393	0.3278650384
394	0.3275272426
395	0.3271734036
396	0.3269919848
397	0.3264708855
398	0.3263693957
399	0.326095386
400	0.3253269451
401	0.3251988558
402	0.3249632853
403	0.3247526593
404	0.3244528999
405	0.3243550558
406	0.3240803579
407	0.3239601761
408	0.3238609436
409	0.3237529042
410	0.3234644223
411	0.3233903702
412	0.3229244328
413	0.3225058754
414	0.3223891043
415	0.3221984983
416	0.3218252496
417	0.321606273
418	0.3213193233
419	0.3209646801
420	0.3209112716
421	0.3207202031
422	0.3205887436
423	0.3203216505
424	0.3198042503
425	0.3196358733
426	0.319541095
427	0.3193052334
428	0.3189810035
429	0.3187278303
430	0.3185050278
431	0.3180456354
432	0.3175309893
433	0.3174366167
434	0.3173755697
435	0.3170911428
436	0.3168795597
437	0.3167058156
438	0.316322295
439	0.3162248711
440	0.3157288449
441	0.3155367589
442	0.3154620415
443	0.3150458134
444	0.3148734368
445	0.3145248002
446	0.3143529978
447	0.3139874777
448	0.3137299932
449	0.3135301024
450	0.3133941455
451	0.3132908025
452	0.3130160461
453	0.3127652621
454	0.3125483612
455	0.3123367382
456	0.312247646
457	0.3122014369
458	0.3119931496
459	0.311741753
460	0.3113073622
461	0.3110926917
462	0.3107912121
463	0.3106529865
464	0.3104442577
465	0.3102827609
466	0.3100548708
467	0.3097313982
468	0.3096311921
469	0.3095618006
470	0.3092674741
471	0.3090693026
472	0.3088820165
473	0.3087311447
474	0.3082947539
475	0.3079856511
476	0.307820644
477	0.3076353467
478	0.3074180955
479	0.3073161429
480	0.3068308543
481	0.3066413089
482	0.3062876706
483	0.306034157
484	0.3058488388
485	0.3056903155
486	0.3056315283
487	0.305402884
488	0.3048926394
489	0.3046211223
490	0.3043981052
491	0.3041313779
492	0.304071694
493	0.3037528702
494	0.3036824121
495	0.3034561327
496	0.3031745544
497	0.3030200041
498	0.3028844101
499	0.3024787124
500	0.3024599971
501	0.3022824006
502	0.3021254925
503	0.3019008992
504	0.3017280393
505	0.3016673509
506	0.3014660545
507	0.3012042759
508	0.3009240006
509	0.3007356993
510	0.3006691571
511	0.3005937652
512	0.3004485426
513	0.3002893888
514	0.3001001459
515	0.2997581057
516	0.2995042909
517	0.2992862349
518	0.2988397723
519	0.2986790474
520	0.2980777447
521	0.2980226667
522	0.2976836562
523	0.2974401618
524	0.2969299667
525	0.2968305941
526	0.2967903493
527	0.2967486716
528	0.2965030931
529	0.2964379319
530	0.2962490396
531	0.2961558213
532	0.2961171562
533	0.2960030376
534	0.2959708384
535	0.2955439148
536	0.2953904245
537	0.2948955376
538	0.294818994
539	0.2944327512
540	0.294199868
541	0.2940249784
542	0.2939749116
543	0.2937141006
544	0.2936309232
545	0.293526102
546	0.2934726486
547	0.2932020704
548	0.2930939245
549	0.2927631156
550	0.2926443052
551	0.2926131032
552	0.2925477795
553	0.2925015497
554	0.2921689819
555	0.2920959506
556	0.2917968675
557	0.2915201666
558	0.2913591273
559	0.2911018283
560	0.2907103007
561	0.2905529968
562	0.2904039206
563	0.2900732415
564	0.2899153591
565	0.2895356144
566	0.2892199721
567	0.2890396743
568	0.2889338672
569	0.2887546892
570	0.2886770232
571	0.288375951
572	0.2882681363
573	0.2881710511
574	0.2879042674
575	0.2873129386
576	0.2871930564
577	0.2871343711
578	0.2870167665
579	0.2868953063
580	0.2867762062
581	0.2865706488
582	0.2860828199
583	0.2858084353
584	0.2857296961
585	0.285578558
586	0.2854389202
587	0.2852745492
588	0.2849700976
589	0.2848473172
590	0.2846862735
591	0.2845344999
592	0.2844897931
593	0.2843974325
594	0.2843034651
595	0.2842212025
596	0.2840371185
597	0.283770459
598	0.2835524869
599	0.2832651733
600	0.2830652074
601	0.2829365844
602	0.2827802154
603	0.2825202488
604	0.2823097964
605	0.2821919872
606	0.282030062
607	0.2819090786
608	0.2818173568
609	0.2816765711
610	0.2816327139
611	0.2815464145
612	0.2813923609
613	0.281301193
614	0.2811936361
615	0.2811248875
616	0.2808198266
617	0.280795349
618	0.2804881964
619	0.2804271113
620	0.2802470843
621	0.2802040189
622	0.279953203
623	0.2798779409
624	0.2795202996
625	0.2794579768
626	0.2794332793
627	0.2793529824
628	0.2790980897
629	0.279008821
630	0.2788181581
631	0.2786014355
632	0.2785195988
633	0.2784676437
634	0.2783142216
635	0.2781957292
636	0.2779738533
637	0.2776746544
638	0.2772717589
639	0.2770216421
640	0.2768420312
641	0.2766707256
642	0.2765671047
643	0.2764900551
644	0.2762883637
645	0.2760753579
646	0.2757590787
647	0.2754782078
648	0.2753197474
649	0.2752078622
650	0.2751435575
651	0.2750195279
652	0.274758754
653	0.2745611298
654	0.274268692
655	0.2742174359
656	0.2741471244
657	0.2740201827
658	0.2738071249
659	0.2736964984
660	0.2733862584
661	0.2731652865
662	0.272829011
663	0.272656039
664	0.2724663622
665	0.2724143386
666	0.2723824661
667	0.2722269847
668	0.2721095985
669	0.2717575216
670	0.271634312
671	0.2712423585
672	0.271004413
673	0.2708441653
674	0.2707494327
675	0.2706880471
676	0.2706286789
677	0.2704726446
678	0.2703625659
679	0.2700659701
680	0.2698718267
681	0.2695594668
682	0.2693020114
683	0.2692430652
684	0.2692214344
685	0.2690983355
686	0.2690478499
687	0.2688451173
688	0.2686472819
689	0.268554884
690	0.2685280747
691	0.2684184038
692	0.2683812117
693	0.2682628634
694	0.2681586952
695	0.268084967
696	0.2679920932
697	0.2678402821
698	0.2676670416
699	0.2676403413
700	0.2675978803
701	0.2674473946
702	0.2673273999
703	0.2672104074
704	0.2669333582
705	0.2668330804
706	0.2667117664
707	0.2664005758
708	0.2662001232
709	0.2661543855
710	0.2661498915
711	0.2660186919
712	0.2658891109
713	0.2657997735
714	0.2657249985
715	0.2655108586
716	0.2653923412
717	0.2651965108
718	0.2649858279
719	0.2647956691
720	0.2647056257
721	0.2646110904
722	0.2644793313
723	0.2643553124
724	0.2642810789
725	0.2641681201
726	0.2639702406
727	0.2637045469
728	0.2635011517
729	0.2633594326
730	0.2632879563
731	0.2631791529
732	0.2630511767
733	0.2630068445
734	0.2629241692
735	0.2629014098
736	0.2625653479
737	0.2625361585
738	0.2623570535
739	0.2622452611
740	0.2618489428
741	0.2617352639
742	0.2614826757
743	0.2612784318
744	0.2611531779
745	0.2609373648
746	0.2608498803
747	0.260707703
748	0.2606137946
749	0.2603423551
750	0.2601816014
751	0.2599932182
752	0.2597226778
753	0.2595525661
754	0.2592396536
755	0.2589960484
