iter	Passed	Remaining
0	15	15342
1	62	31303
2	71	23628
3	94	23624
4	126	25154
5	172	28511
6	195	27679
7	209	25969
8	217	23898
9	221	21925
10	228	20516
11	243	20086
12	270	20551
13	283	19946
14	304	20015
15	327	20160
16	349	20193
17	361	19732
18	364	18840
19	385	18904
20	414	19305
21	438	19502
22	455	19343
23	474	19293
24	480	18747
25	484	18135
26	490	17681
27	499	17353
28	510	17092
29	527	17060
30	540	16884
31	543	16440
32	553	16212
33	557	15852
34	574	15838
35	583	15622
36	590	15370
37	599	15179
38	609	15024
39	649	15586
40	660	15450
41	664	15145
42	685	15256
43	698	15169
44	720	15297
45	735	15243
46	745	15116
47	748	14854
48	754	14635
49	760	14445
50	779	14512
51	787	14357
52	801	14330
53	808	14164
54	820	14102
55	829	13983
56	833	13782
57	836	13585
58	844	13461
59	851	13343
60	867	13347
61	883	13372
62	894	13301
63	967	14143
64	1022	14702
65	1075	15218
66	1095	15257
67	1122	15378
68	1125	15185
69	1128	14996
70	1135	14859
71	1169	15073
72	1199	15227
73	1218	15246
74	1248	15393
75	1261	15332
76	1277	15317
77	1282	15154
78	1287	15015
79	1304	15000
80	1327	15061
81	1333	14933
82	1343	14840
83	1359	14822
84	1374	14793
85	1402	14909
86	1411	14817
87	1428	14800
88	1431	14653
89	1443	14600
90	1460	14587
91	1472	14536
92	1494	14580
93	1508	14539
94	1528	14562
95	1537	14480
96	1546	14395
97	1555	14312
98	1564	14236
99	1574	14168
100	1581	14080
101	1593	14028
102	1618	14094
103	1639	14123
104	1645	14025
105	1655	13964
106	1674	13975
107	1678	13866
108	1701	13909
109	1710	13836
110	1720	13783
111	1738	13783
112	1754	13772
113	1773	13784
114	1784	13733
115	1824	13901
116	1862	14052
117	1885	14096
118	1892	14011
119	1901	13946
120	1922	13965
121	1927	13872
122	1950	13905
123	1959	13844
124	1969	13786
125	1980	13736
126	1993	13705
127	2013	13719
128	2026	13680
129	2037	13633
130	2043	13558
131	2058	13536
132	2067	13479
133	2074	13406
134	2078	13315
135	2085	13249
136	2111	13299
137	2131	13313
138	2159	13377
139	2180	13397
140	2185	13312
141	2208	13343
142	2229	13361
143	2251	13383
144	2265	13361
145	2287	13377
146	2308	13394
147	2333	13431
148	2363	13500
149	2385	13519
150	2406	13529
151	2422	13513
152	2441	13516
153	2460	13516
154	2463	13432
155	2472	13374
156	2475	13290
157	2493	13288
158	2513	13293
159	2516	13212
160	2541	13242
161	2558	13234
162	2585	13278
163	2591	13211
164	2611	13214
165	2627	13202
166	2649	13218
167	2672	13233
168	2676	13160
169	2689	13129
170	2709	13133
171	2730	13142
172	2753	13164
173	2788	13235
174	2795	13179
175	2810	13157
176	2830	13162
177	2841	13120
178	2862	13128
179	2881	13127
180	2902	13133
181	2924	13142
182	2943	13143
183	2975	13193
184	2995	13195
185	3011	13180
186	3030	13176
187	3053	13186
188	3061	13137
189	3065	13068
190	3086	13073
191	3092	13013
192	3112	13015
193	3144	13062
194	3167	13076
195	3193	13098
196	3221	13131
197	3243	13135
198	3264	13139
199	3285	13142
200	3306	13142
201	3318	13110
202	3340	13115
203	3361	13117
204	3384	13123
205	3415	13165
206	3438	13170
207	3459	13170
208	3478	13164
209	3497	13158
210	3516	13150
211	3534	13139
212	3553	13129
213	3573	13123
214	3592	13116
215	3610	13105
216	3637	13126
217	3659	13126
218	3680	13125
219	3695	13103
220	3714	13091
221	3732	13079
222	3750	13067
223	3768	13056
224	3780	13022
225	3799	13011
226	3817	12998
227	3852	13042
228	3860	12996
229	3881	12995
230	3903	12995
231	3922	12983
232	3941	12975
233	3962	12970
234	3981	12961
235	4001	12954
236	4026	12961
237	4050	12967
238	4090	13023
239	4121	13050
240	4141	13044
241	4160	13031
242	4178	13017
243	4197	13005
244	4217	12996
245	4240	12998
246	4266	13008
247	4289	13006
248	4308	12995
249	4329	12988
250	4350	12980
251	4372	12979
252	4398	12985
253	4416	12971
254	4434	12955
255	4454	12944
256	4482	12960
257	4504	12955
258	4526	12951
259	4549	12947
260	4570	12942
261	4591	12934
262	4602	12897
263	4631	12912
264	4655	12911
265	4676	12904
266	4711	12934
267	4738	12941
268	4763	12943
269	4785	12938
270	4809	12937
271	4830	12927
272	4851	12918
273	4873	12912
274	4894	12904
275	4919	12903
276	4946	12912
277	4969	12905
278	4992	12900
279	5016	12898
280	5036	12886
281	5056	12875
282	5077	12864
283	5104	12868
284	5127	12862
285	5155	12871
286	5175	12858
287	5195	12843
288	5214	12829
289	5234	12816
290	5253	12799
291	5271	12780
292	5289	12764
293	5308	12747
294	5335	12749
295	5363	12755
296	5385	12747
297	5405	12733
298	5425	12721
299	5445	12707
300	5466	12693
301	5484	12676
302	5503	12659
303	5522	12642
304	5551	12650
305	5574	12642
306	5595	12630
307	5616	12619
308	5640	12613
309	5667	12614
310	5689	12605
311	5711	12594
312	5731	12579
313	5750	12563
314	5778	12566
315	5800	12555
316	5825	12551
317	5847	12540
318	5866	12524
319	5886	12508
320	5905	12492
321	5925	12476
322	5943	12457
323	5962	12440
324	5992	12446
325	6017	12441
326	6037	12426
327	6065	12425
